1,[A.29],Extorsión,0,11.2.8,Equipo de usuario desatendido,47
2,[E.23],Errores de mantenimiento / actualización de equipos (hardware),2,15.2.1,Control y revisión de la provisión de servicios del proveedor,46
3,[A.13],Repudio,4,11.2.3,Seguridad del cableado,17
4,[A.29],Extorsión,3,8.1.1,Inventario de activos,43
5,[A.5],Suplantación de la identidad del usuario,4,16.1.5,Evaluación y decisión sobre los eventos de seguridad de información,2
5,[A.5],Suplantación de la identidad del usuario,4,18.1.1,Identificación de la legislación aplicable y de los requisitos contractuales,2
6,[A.11],Acceso no autorizado,0,13.2.2,Acuerdos de intercambio de información,35
6,[A.11],Acceso no autorizado,0,18.2.3,Comprobación del cumplimiento técnico,35
7,[A.24],Denegación de servicio,3,8.1.2,Propiedad de los activos,4
8,[A.12],Análisis de tráfico,3,14.2.9,Pruebas de aceptación de sistemas,42
9,[E.25],Pérdida de equipos,0,16.1.5,Evaluación y decisión sobre los eventos de seguridad de información,9
10,[E.1],Errores de los usuarios,3,18.1.1,Identificación de la legislación aplicable y de los requisitos contractuales,16
11,[E.25],Pérdida de equipos,2,12.2.2,Controles contra el código descargado en el cliente,21
12,[A.6],Abuso de privilegios de acceso,4,13.2.1,Políticas y procedimientos de intercambio de información,36
13,[A.4],Manipulación de la configuración,0,9.2.2,Provisión de acceso de usuario,8
13,[A.4],Manipulación de la configuración,0,5.1.1,Políticas para la seguridad de la información,8
14,[A.6],Abuso de privilegios de acceso,4,9.2.3,Gestión de privilegios de acceso,17
15,[A.22],Manipulación de programas,4,5.1.2,Revisión de la política de seguridad de la información,22
16,[E.18],Destrucción de información,1,12.6.1,Gestión de las vulnerabilidades técnicas,37
16,[E.18],Destrucción de información,1,17.1.3,Verificación, revisión y evaluación de la continuidad de la seguridad de la información,37
17,[E.3],Errores de monitorización (log),2,14.1.2,Asegurar los servicios de aplicaciones en redes públicas,10
18,[E.9],Errores de [re-]encaminamiento,3,13.2.2,Acuerdos de intercambio de información,44
19,[A.18],Destrucción de información,1,9.2.6,Retirada o reasignación de los derechos de acceso,8
