1,[E.4],Errores de configuración,3,15.1.3,Cadena de suministro de tecnología de la información y de las comunicaciones,6
2,[A.8],Difusión de software dañino,1,14.2.8,Pruebas funcionales de seguridad de sistemas,13
3,[A.13],Repudio,1,9.2.3,Gestión de privilegios de acceso,43
4,[A.26],Ataque destructivo,3,11.2.7,Reutilización o eliminación segura de equipos,28
5,[E.2],Errores del administrador,0,14.1.1,Análisis y especificación de los requisitos de seguridad,21
5,[E.2],Errores del administrador,0,11.2.7,Reutilización o eliminación segura de equipos,21
6,[E.28],Indisponibilidad del personal,4,8.3.1,Gestión de soportes extraíbles,30
7,[A.13],Repudio,3,13.2.3,Mensajería electrónica,38
8,[E.8],Difusión de software dañino,0,10.1.2,Gestión de claves,15
9,[A.9],[Re-]encaminamiento de mensajes,1,18.1.4,Protección y privacidad de la información de carácter personal,3
10,[A.28],Indisponibilidad del personal,3,8.2.3,Manipulado de la información,0
11,[A.29],Extorsión,4,9.2.1,Registro y baja de usuario,28
11,[A.29],Extorsión,4,10.1.1,Política de uso de los controles criptográficos,28
12,[A.27],Ocupación enemiga,0,7.1.3,Términos y condiciones de contratación,25
12,[A.27],Ocupación enemiga,0,16.1.4,Evaluación y decisión sobre los eventos de seguridad de información,25
13,[A.18],Destrucción de información,4,9.4.1,Restricción del acceso a la información,12
14,[A.22],Manipulación de programas,3,16.1.5,Evaluación y decisión sobre los eventos de seguridad de información,41
15,[A.22],Manipulación de programas,3,14.1.1,Análisis y especificación de los requisitos de seguridad,25
16,[A.18],Destrucción de información,1,11.2.3,Seguridad del cableado,38
17,[E.25],Pérdida de equipos,2,11.2.7,Reutilización o eliminación segura de equipos,34
18,[A.11],Acceso no autorizado,0,9.1.2,Acceso a las redes y a los servicios de red,43
19,[A.27],Ocupación enemiga,0,12.6.1,Gestión de las vulnerabilidades técnicas,8
19,[A.27],Ocupación enemiga,0,11.2.3,Seguridad del cableado,8
20,[E.24],Caída del sistema por agotamiento de recursos,3,9.4.1,Restricción del acceso a la información,28
21,[E.24],Caída del sistema por agotamiento de recursos,1,12.2.2,Controles contra el código descargado en el cliente,41
22,[E.20],Vulnerabilidades de los programas (software),4,6.1.4,Contacto con grupos de especial interés,37
23,[E.25],Pérdida de equipos,3,14.2.1,Política de desarrollo seguro,7
24,[E.10],Errores de secuencia,1,18.1.3,Protección de los registros de la organización,40
24,[E.10],Errores de secuencia,1,18.2.3,Comprobación del cumplimiento técnico,40
25,[E.2],Errores del administrador,0,14.2.7,Externalización del desarrollo de software,39
26,[E.10],Errores de secuencia,0,6.2.2,Teletrabajo,7
27,[E.10],Errores de secuencia,1,12.1.4,Separación de los recursos de desarrollo, prueba y operación,4
28,[E.7],Deficiencias en la organización,0,13.2.2,Acuerdos de intercambio de información,46
28,[E.7],Deficiencias en la organización,0,9.2.6,Retirada o reasignación de los derechos de acceso,46
29,[A.23],Manipulación de los equipos,2,16.1.6,Aprendizaje de los incidentes de seguridad de la información,5
30,[A.3],Manipulación de los registros de actividad (log),4,14.2.2,Procedimientos de control de cambios en sistemas,36
31,[A.9],[Re-]encaminamiento de mensajes,4,14.3.1,Protección de los datos de prueba,29
31,[A.9],[Re-]encaminamiento de mensajes,4,11.2.5,Retirada de materiales propiedad de la empresa,29
32,[I.10],Degradación de los soportes de almacenamiento de la información,4,7.2.1,Responsabilidades de gestión,17
32,[I.10],Degradación de los soportes de almacenamiento de la información,4,14.2.9,Pruebas de aceptación de sistemas,17
33,[A.29],Extorsión,4,12.1.3,Gestión de capacidades,11
34,[A.9],[Re-]encaminamiento de mensajes,1,14.1.1,Análisis y especificación de los requisitos de seguridad,46
34,[A.9],[Re-]encaminamiento de mensajes,1,18.2.3,Comprobación del cumplimiento técnico,46
35,[A.5],Suplantación de la identidad del usuario,1,17.1.3,Verificación, revisión y evaluación de la continuidad de la seguridad de la información,11
