1,[A.8],Difusión de software dañino,3,9.2.3,Gestión de privilegios de acceso,31
2,[A.12],Análisis de tráfico,4,16.1.1,Responsabilidades y procedimientos,20
3,[A.25],Robo,2,14.1.2,Asegurar los servicios de aplicaciones en redes públicas,47
4,[A.5],Suplantación de la identidad del usuario,4,8.1.1,Inventario de activos,5
5,[A.7],Uso no previsto,3,12.4.2,Protección de la información de registros,17
6,[A.23],Manipulación de los equipos,2,9.4.5,Control de acceso al código fuente de los programas,27
7,[A.9],[Re-]encaminamiento de mensajes,0,8.2.3,Manipulado de la información,0
7,[A.9],[Re-]encaminamiento de mensajes,0,14.2.3,Revisión técnica de las aplicaciones tras efectuar cambios en el sistema operativo,0
8,[A.19],Divulgación de información,0,16.1.5,Evaluación y decisión sobre los eventos de seguridad de información,23
9,[A.7],Uso no previsto,0,13.2.3,Mensajería electrónica,5
10,[A.22],Manipulación de programas,3,16.1.6,Aprendizaje de los incidentes de seguridad de la información,7
11,[E.7],Deficiencias en la organización,1,7.2.1,Responsabilidades de gestión,45
12,[A.28],Indisponibilidad del personal,2,13.1.2,Seguridad de los servicios de red,17
13,[A.15],Modificación deliberada de la información,0,18.2.2,Cumplimiento de las políticas y normas de seguridad,30
13,[A.15],Modificación deliberada de la información,0,9.2.2,Provisión de acceso de usuario,30
14,[A.10],Alteración de secuencia,2,9.4.4,Uso de utilidades con privilegios del sistema,22
15,[E.28],Indisponibilidad del personal,0,14.2.9,Pruebas de aceptación de sistemas,11
16,[A.24],Denegación de servicio,0,9.3.1,Uso de la información secreta de autenticación,19
17,[A.26],Ataque destructivo,4,16.1.2,Notificación de los eventos de seguridad de la información,31
18,[A.25],Robo,3,14.2.9,Pruebas de aceptación de sistemas,26
19,[I.10],Degradación de los soportes de almacenamiento de la información,3,18.1.4,Protección y privacidad de la información de carácter personal,19
20,[A.28],Indisponibilidad del personal,4,13.1.2,Seguridad de los servicios de red,23
21,[A.22],Manipulación de programas,4,14.2.7,Externalización del desarrollo de software,38
22,[I.10],Degradación de los soportes de almacenamiento de la información,4,12.3.1,Copias de seguridad de la información,24
23,[A.13],Repudio,4,11.2.8,Equipo de usuario desatendido,26
23,[A.13],Repudio,4,8.1.4,Devolución de activos,26
24,[A.28],Indisponibilidad del personal,1,9.2.2,Provisión de acceso de usuario,7
25,[E.2],Errores del administrador,2,15.1.1,Política de seguridad de la información en las relaciones con los proveedores,27
26,[E.18],Destrucción de información,2,14.2.3,Revisión técnica de las aplicaciones tras efectuar cambios en el sistema operativo,7
27,[I.10],Degradación de los soportes de almacenamiento de la información,2,8.1.2,Propiedad de los activos,3
28,[E.25],Pérdida de equipos,0,14.2.6,Entorno de desarrollo seguro,17
29,[A.4],Manipulación de la configuración,1,13.1.1,Controles de red,9
30,[E.21],Errores de mantenimiento / actualización de programas (software),3,7.1.1,Investigación de antecedentes,11
30,[E.21],Errores de mantenimiento / actualización de programas (software),3,12.3.1,Copias de seguridad de la información,11
